Station	Date	Tmin	Tmax	Tavg	I
18/07/2018	17.3	25.2	20.5	20.6
19/07/2018	13.9	23.2	18.8	27.9
20/07/2018	11.7	24.2	18.3	27.6
21/07/2018	10	26.2	19.4	26.7
22/07/2018	15.6	27	21.3	21.5
23/07/2018	14.4	26.7	20.7	23.9
24/07/2018	16.8	29.4	23.2	26.2
25/07/2018	15.5	32	24.8	24.8
26/07/2018	19.3	31.1	25.3	24.9
27/07/2018	17.2	30.2	24.1	25.7
28/07/2018	18.3	29.4	23.4	23.5
29/07/2018	0	24.4	19.8	24.5
30/07/2018	19.6	29.6	24.4	17.3
31/07/2018	20.2	31.7	25.5	20.6
01/08/2018	16.4	25.8	21.4	20.5
02/08/2018	12.7	26.3	20.7	24.5
03/08/2018	14.3	28.4	22.2	24.3
04/08/2018	17.4	25.6	21.4	20
05/08/2018	17.1	23	19.4	15.7
06/08/2018	15.6	25.1	19.8	21
07/08/2018	13.8	31.1	23.3	23.3
08/08/2018	19.6	30.1	25	17.3
09/08/2018	14.9	26.5	21.1	20.7
10/08/2018	13.8	21.8	19.1	21.4
11/08/2018	13.1	19	15.8	12.9
12/08/2018	13.2	17.9	14.5	2.6
13/08/2018	15.4	20.9	18	7.5
14/08/2018	15.5	21.2	18.5	15
15/08/2018	15.5	21.9	18.6	13.1
16/08/2018	16	25.6	20.7	18.8
17/08/2018	14	20.9	17.7	12
18/08/2018	9.7	21.8	17	14.2
19/08/2018	17.3	21	19.1	9.4
20/08/2018	15	20.6	18.2	17.3
21/08/2018	12.7	20.4	16.4	20.8
22/08/2018	12.7	25.1	19.7	20.9
23/08/2018	14	22.7	18.5	17.6
24/08/2018	13.6	18.9	16.4	11
25/08/2018	10.8	17.2	13.6	11
26/08/2018	11.6	18.7	14.4	16.4
27/08/2018	13	19.1	15.2	6.4
